 wavenumber    crosssection    coefficient
 2021.380000    6.7831511149E-23    1.9490957429E-03
 2021.384790    6.7780435882E-23    1.9476281273E-03
 2021.389580    6.7730880419E-23    1.9462041823E-03
 2021.394370    6.7682847939E-23    1.9448239992E-03
 2021.399160    6.7636341781E-23    1.9434876740E-03
 2021.403950    6.7591365445E-23    1.9421953074E-03
 2021.408740    6.7547922583E-23    1.9409470041E-03
 2021.413530    6.7506017013E-23    1.9397428739E-03
 2021.418320    6.7465652705E-23    1.9385830310E-03
 2021.423110    6.7426833788E-23    1.9374675938E-03
 2021.427900    6.7389564558E-23    1.9363966860E-03
 2021.432690    6.7353849455E-23    1.9353704350E-03
 2021.437480    6.7319693090E-23    1.9343889734E-03
 2021.442270    6.7287100230E-23    1.9334524381E-03
 2021.447060    6.7256075808E-23    1.9325609709E-03
 2021.451850    6.7226624905E-23    1.9317147177E-03
 2021.456640    6.7198752781E-23    1.9309138298E-03
 2021.461430    6.7172464848E-23    1.9301584626E-03
 2021.466220    6.7147766693E-23    1.9294487767E-03
 2021.471010    6.7124664060E-23    1.9287849371E-03
 2021.475800    6.7103162864E-23    1.9281671137E-03
 2021.480590    6.7083269188E-23    1.9275954815E-03
 2021.485380    6.7064989296E-23    1.9270702203E-03
 2021.490170    6.7048329604E-23    1.9265915146E-03
 2021.494960    6.7033315955E-23    1.9261601068E-03
 2021.499750    6.7019916666E-23    1.9257750867E-03
 2021.504540    6.7008174736E-23    1.9254376897E-03
 2021.509330    6.6998063675E-23    1.9251471548E-03
 2021.514120    6.6989607602E-23    1.9249041748E-03
 2021.518910    6.6982814014E-23    1.9247089654E-03
 2021.523700    6.6977690600E-23    1.9245617473E-03
 2021.528490    6.6974245231E-23    1.9244627468E-03
 2021.533280    6.6972485967E-23    1.9244121954E-03
 2021.538070    6.6972421067E-23    1.9244103306E-03
 2021.542860    6.6974058974E-23    1.9244573948E-03
 2021.547650    6.6977408339E-23    1.9245536367E-03
 2021.552440    6.6982478006E-23    1.9246993104E-03
 2021.557230    6.6999923396E-23    1.9252005927E-03
 2021.562020    6.7008466120E-23    1.9254460625E-03
 2021.566810    6.7018756904E-23    1.9257417617E-03
 2021.571600    6.7030805424E-23    1.9260879683E-03
 2021.576390    6.7044621548E-23    1.9264849659E-03
 2021.581180    6.7060215377E-23    1.9269330448E-03
 2021.585970    6.7077597223E-23    1.9274325012E-03
 2021.590760    6.7096777621E-23    1.9279836378E-03
 2021.595550    6.7117767325E-23    1.9285867637E-03
 2021.600340    6.7140577316E-23    1.9292421944E-03
 2021.605130    6.7165218815E-23    1.9299502524E-03
 2021.609920    6.7191703257E-23    1.9307112662E-03
 2021.614710    6.7220042326E-23    1.9315255715E-03
 2021.619500    6.7250247945E-23    1.9323935109E-03
 2021.624290    6.7282332269E-23    1.9333154337E-03
 2021.629080    6.7316307701E-23    1.9342916964E-03
 2021.633870    6.7352186897E-23    1.9353226625E-03
 2021.638660    6.7389982765E-23    1.9364087029E-03
 2021.643450    6.7429708460E-23    1.9375501957E-03
 2021.648240    6.7471377397E-23    1.9387475264E-03
 2021.653030    6.7515003257E-23    1.9400010880E-03
 2021.657820    6.7560599979E-23    1.9413112811E-03
 2021.662610    6.7608181834E-23    1.9426785157E-03
 2021.667400    6.7657763190E-23    1.9441032047E-03
 2021.672190    6.7709358859E-23    1.9455857738E-03
 2021.676980    6.7762983877E-23    1.9471266549E-03
 2021.681770    6.7818653566E-23    1.9487262883E-03
 2021.686560    6.7876383523E-23    1.9503851223E-03
 2021.691350    6.7936189647E-23    1.9521036136E-03
 2021.696140    6.7998088123E-23    1.9538822273E-03
 2021.700930    6.8062095432E-23    1.9557214370E-03
 2021.705720    6.8128228360E-23    1.9576217250E-03
 2021.710510    6.8196503999E-23    1.9595835825E-03
 2021.715300    6.8266939743E-23    1.9616075092E-03
 2021.720090    6.8339553308E-23    1.9636940143E-03
 2021.724880    6.8414362716E-23    1.9658436155E-03
 2021.729670    6.8491386326E-23    1.9680568404E-03
 2021.734460    6.8570642807E-23    1.9703342255E-03
 2021.739250    6.8652151170E-23    1.9726763169E-03
 2021.744040    6.8735930753E-23    1.9750836705E-03
 2021.748830    6.8822001235E-23    1.9775568515E-03
 2021.753620    6.8910382648E-23    1.9800964358E-03
 2021.758410    6.9001095362E-23    1.9827030085E-03
 2021.763200    6.9094160108E-23    1.9853771653E-03
 2021.767990    6.9189597978E-23    1.9881195124E-03
 2021.772780    6.9287430427E-23    1.9909306662E-03
 2021.777570    6.9387679286E-23    1.9938112540E-03
 2021.782360    6.9490366751E-23    1.9967619136E-03
 2021.787150    6.9595515420E-23    1.9997832944E-03
